path,collection,route,title,description,subtitle,category,pubDate,draft,ai_generated,reviewed,tier,words,last_commit,dirty,parse_error
architectures/1802.yaml,architectures,,CDP1802 Family,RCA's radiation-hardened CMOS CPU. Used in spacecraft and early hobbyist computers.,,,,,,,,0,2026-01-17,,
architectures/6502.yaml,architectures,,6502 Family,"Elegant 8-bit architecture with a small instruction set. Skills transfer directly between C64, NES, and more.",,,,,,,,0,2026-01-17,,
architectures/65c816.yaml,architectures,,65C816 Family,16-bit evolution of the 6502. Native mode adds 16-bit registers while maintaining compatibility.,,,,,,,,0,2026-01-17,,
architectures/6800.yaml,architectures,,6800 Family,Motorola's first 8-bit CPU and its 6801/6803 successors. A single-supply design that seeded a generation of home and embedded micros.,,,,,,,,0,2026-06-30,,
architectures/68000.yaml,architectures,,68000 Family,"16/32-bit hybrid with orthogonal design. More registers, more addressing modes, more power.",,,,,,,,0,2026-01-17,,
architectures/6809.yaml,architectures,,6809 Family,Motorola's advanced 8-bit CPU with orthogonal design. Position-independent code and powerful addressing.,,,,,,,,0,2026-01-17,,
architectures/8080.yaml,architectures,,8080 Family,Intel's pioneering 8-bit CPU that started the microcomputer revolution. The ancestor of the Z80.,,,,,,,,0,2026-01-17,,
architectures/arm.yaml,architectures,,ARM Family,"Acorn's RISC revolution. Clean, efficient instruction set that now powers most mobile devices.",,,,,,,,0,2026-01-17,,
architectures/cp1610.yaml,architectures,,CP1610 Family,General Instrument's 16-bit CPU. Powered the Intellivision's advanced graphics.,,,,,,,,0,2026-01-17,,
architectures/f8.yaml,architectures,,F8 Family,Fairchild's innovative multi-chip CPU. First processor in a programmable home console.,,,,,,,,0,2026-01-17,,
architectures/huc6280.yaml,architectures,,Hudson HuC6280,"Hudson's extended 65C02 in the PC Engine. Adds block transfers, port writes, and MMU mapping instructions — a 6502 descendant with its own encodings.",,,,,,,,0,2026-07-02,,
architectures/mcs48.yaml,architectures,,MCS-48 Family,Intel's early microcontroller with built-in RAM and I/O. Simple but capable.,,,,,,,,0,2026-01-17,,
architectures/mips.yaml,architectures,,MIPS Family,"Classic RISC architecture. Powered PlayStation, N64, and PS2 with elegant simplicity.",,,,,,,,0,2026-01-17,,
architectures/sh2.yaml,architectures,,SuperH SH-2 Family,Hitachi's 32-bit RISC CPU. Dual processors powered the Saturn's complex architecture.,,,,,,,,0,2026-01-17,,
architectures/sh4.yaml,architectures,,SuperH SH-4 Family,Advanced SuperH with FPU and 3D support. The brain behind Dreamcast's impressive graphics.,,,,,,,,0,2026-01-17,,
architectures/sm83.yaml,architectures,,Sharp SM83,"Sharp's Z80-flavoured core in the Game Boy. An 8080-style register file with Z80 syntax, but its own instruction encoding — not Z80-compatible.",,,,,,,,0,2026-07-02,,
architectures/tlcs900.yaml,architectures,,TLCS-900 Family,Toshiba's 16-bit CPU family. Z80 heritage with modern enhancements for handhelds.,,,,,,,,0,2026-01-17,,
architectures/tms9900.yaml,architectures,,TMS9900 Family,"Texas Instruments' 16-bit CPU with workspace registers. Unique architecture, ahead of its time.",,,,,,,,0,2026-01-17,,
architectures/v810.yaml,architectures,,V810 Family,NEC's 32-bit RISC CPU. Low power design used in Nintendo's experimental consoles.,,,,,,,,0,2026-01-17,,
architectures/x86.yaml,architectures,,x86 Family,Intel's dominant architecture from PC to present. CISC design with backwards compatibility.,,,,,,,,0,2026-01-17,,
architectures/z80.yaml,architectures,,Z80 Family,Extended 8080 instruction set with more registers. The heart of British home computing and handhelds.,,,,,,,,0,2026-01-17,,
curriculum/commodore-64/assembly/brick-basher/index.mdx,curriculum,/systems/commodore-64/assembly/brick-basher/,Brick Basher,"A Breakout clone teaching ball physics, paddle control, and power-up systems.",,,,,,,,104,2026-06-01,,
curriculum/commodore-64/assembly/catacombs/index.mdx,curriculum,/systems/commodore-64/assembly/catacombs/,Catacombs,"Explore a large scrolling dungeon and manage what you carry, with music playing under the action.",,,,,,,,78,2026-06-10,,
curriculum/commodore-64/assembly/deephold/index.mdx,curriculum,/systems/commodore-64/assembly/deephold/,Deephold,"A top-down adventure with inventory, NPCs, quests, and disk save/load.",,,,,,,,134,2026-06-30,,
curriculum/commodore-64/assembly/hornet/index.mdx,curriculum,/systems/commodore-64/assembly/hornet/,Hornet,A multi-sprite action game teaching sprite multiplexing beyond hardware limits.,,,,,,,,107,2026-06-10,,
curriculum/commodore-64/assembly/knuckle/index.mdx,curriculum,/systems/commodore-64/assembly/knuckle/,Knuckle,"A one-on-one fighting game with hitboxes, combos, and special moves.",,,,,,,,132,2026-06-30,,
curriculum/commodore-64/assembly/maelstrom/index.mdx,curriculum,/systems/commodore-64/assembly/maelstrom/,Maelstrom,"The integration game — scroll, multiplex, music and logic all inside one stable 50Hz frame.",,,,,,,,80,2026-06-10,,
curriculum/commodore-64/assembly/maze-raider/index.mdx,curriculum,/systems/commodore-64/assembly/maze-raider/,Maze Raider,"A Pac-Man style maze chase teaching custom character sets, tile-based maps, and pathfinding AI.",,,,,,,,210,2026-06-01,,
curriculum/commodore-64/assembly/meet-the-machine/index.mdx,curriculum,/systems/commodore-64/assembly/meet-the-machine/,Meet the Machine,"The assembly on-ramp. Before you build a game, meet the 6510 and the Commodore 64 one idea at a time — registers, memory, the screen, decisions, loops — until the machine stops feeling like magic.",,,,,,,,236,2026-09-05,,
curriculum/commodore-64/assembly/meet-the-machine/unit-01.mdx,curriculum,/systems/commodore-64/assembly/meet-the-machine/unit-01/,Assemble and Run,"Write a few lines of assembly, turn them into a program with a build step, run it on the C64, and watch the border change colour. Meet the loop you'll use all course — and the idea that makes the C64 the C64.",,,2026-06-03,,,,,1148,2026-09-05,,
curriculum/commodore-64/assembly/meet-the-machine/unit-02.mdx,curriculum,/systems/commodore-64/assembly/meet-the-machine/unit-02/,LDA Is Not LET,"Meet the registers — the three physical 8-bit stores inside the 6510. Send a value from A into X and back again, and watch the border prove it made the trip. And learn why 'load' comes in three flavours.",,,2026-06-03,,,,,901,2026-06-08,,
curriculum/commodore-64/assembly/meet-the-machine/unit-03.mdx,curriculum,/systems/commodore-64/assembly/meet-the-machine/unit-03/,Everything Is a Number,"A byte has no type. Discover that 65, $41, the letter 'A' and the bit-pattern %01000001 are one and the same byte — and meet hex, the way you'll read bytes from here on.",,,2026-06-03,,,,,669,2026-06-08,,
curriculum/commodore-64/assembly/meet-the-machine/unit-04.mdx,curriculum,/systems/commodore-64/assembly/meet-the-machine/unit-04/,A Street of Numbered Boxes,"Meet memory — one long street of numbered boxes, each holding a byte. Store a byte at an address and read it back, the same round-trip you used for registers, now through RAM.",,,2026-06-03,,,,,752,2026-06-08,,
curriculum/commodore-64/assembly/meet-the-machine/unit-05.mdx,curriculum,/systems/commodore-64/assembly/meet-the-machine/unit-05/,The Screen Is Memory,"The big one. Discover that the screen is just a stretch of the same memory street — poke a byte to $0400 and a character appears. No PRINT, no magic: a box on screen holds one character code, and the chip draws it.",,,2026-06-03,,,,,779,2026-06-08,,
